campaign_id,campaign_name,channel,campaign_type,start_date,end_date,budget_uzs,target_audience,objective,status
1,Horizontal tangible task-force 2020,Google Ads,Engagement,2025-10-12,2025-11-12,45865733.62,45-54,Sales,Completed
2,Synchronized tangible utilization 2024,Twitter,Engagement,2024-10-07,2024-10-28,85236649.93,18-24,App Downloads,Active
3,Robust 3rdgeneration migration 2021,LinkedIn,Conversion,2025-01-05,2025-06-13,97841850.88,35-44,Leads,Completed
4,Object-based context-sensitive approach 2020,Google Ads,Awareness,2025-07-02,2025-09-22,28252658.58,18-24,Sales,Cancelled
5,Distributed bandwidth-monitored complexity 2024,Facebook Ads,Awareness,2024-02-13,2024-06-16,78901726.93,35-44,Brand Awareness,Completed
6,Right-sized motivating flexibility 2025,Google Ads,Awareness,2024-08-12,2024-08-31,87762254.44,35-44,Brand Awareness,Paused
7,Reduced analyzing contingency 2025,Twitter,Awareness,2025-07-16,2025-10-23,71802633.18,18-24,App Downloads,Cancelled
8,Grass-roots asynchronous model 2024,SMS,Conversion,2025-11-02,2026-04-28,73380706.56,55+,Brand Awareness,Active
9,Cross-platform regional knowledgebase 2024,Telegram,Awareness,2024-07-09,,11469849.06,18-24,Leads,Paused
10,Down-sized clear-thinking artificial intelligence 2022,Twitter,Engagement,2023-12-17,2024-04-18,84524799.87,45-54,Sales,Paused
11,Multi-layered upward-trending contingency 2020,YouTube,Conversion,2025-10-19,2026-03-22,40942780.99,55+,App Downloads,Cancelled
12,Innovative modular time-frame 2022,Facebook Ads,Conversion,2025-04-16,2025-06-10,70914861.58,18-24,Leads,Cancelled
13,Phased intangible portal 2021,TikTok,Engagement,2024-07-29,2024-11-12,23261531.48,45-54,Sales,Active
14,Synchronized upward-trending collaboration 2020,Telegram,Awareness,2024-01-29,2024-04-12,22742320.04,45-54,App Downloads,Active
15,Organic optimizing alliance 2020,TikTok,Awareness,2023-11-12,2024-03-04,20900454.6,45-54,Sales,Active
16,De-engineered user-facing adapter 2023,SMS,Traffic,2024-02-05,2024-06-29,57988980.48,25-34,Leads,Completed
17,Fundamental web-enabled standardization 2020,Email,Awareness,2025-07-19,2025-10-20,15079512.28,25-34,Sales,Paused
18,Cross-group transitional alliance 2023,Google Ads,Traffic,2025-04-18,2025-08-16,30603681.98,45-54,App Downloads,Completed
19,Ergonomic systemic orchestration 2025,Twitter,Engagement,2024-05-19,2024-10-05,81708114.59,18-24,Leads,Completed
20,Inverse hybrid hardware 2025,Google Ads,Awareness,2024-03-25,2024-09-11,70264895.41,25-34,Leads,Cancelled
21,Ergonomic tertiary support 2024,Twitter,Awareness,2025-03-14,2025-07-23,99805269.02,45-54,Brand Awareness,Active
22,Face-to-face grid-enabled core 2023,Email,Engagement,2025-10-27,,80630641.74,35-44,Brand Awareness,Completed
